NAT_ID;NAT_LB_NOM
0;Sans nature
40;Sémaphore
41;Phare
4;Château d'eau - réservoir
38;Immeuble
39;Local technique
42;Mât
8;Intérieur galerie
9;Intérieur sous-terrain
10;Tunnel
11;Mât béton
12;Mât métallique
21;Pylône
17;Bâtiment
19;Monument historique
20;Monument religieux
22;Pylône autoportant
23;Pylône autostable
24;Pylône haubané
25;Pylône treillis
26;Pylône tubulaire
31;Silo
32;Ouvrage d'art (pont, viaduc)
33;Tour hertzienne
34;Dalle en béton
999999999;Support non décrit
43;Fût
44;Tour de contrôle
45;Contre-poids au sol
46;Contre-poids sur shelter
47;Support DEFENSE
48;pylône arbre
49;Ouvrage de signalisation (portique routier, panneau routier, panneau publicitaire)
50;Balise ou bouée
51;XXX
52;Eolienne
