TAE_ID;TAE_LB
75;Antenne Ran-Sharing
76;Tube
0;Sans type
1;Accordable
2;Active (directionnelle ou omnidirectionnelle)
3;Cigare
4;Corolle
5;Dipôle large bande
6;Dipôle réglable
7;Antenne directive
8;Filaire
9;Fouet
10;Fuseau
23;Réseau linéaire 25 antennes
12;Groundplane
13;HLO
14;Logarithmique/Log périodique
15;Losange
16;Panneau
17;Antenne parabolique
18;Cierge/Perche
19;Réseaux d'antennes
20;Système antennaire
21;Yagi
22;Réseau linéaire 13 antennes
24;Antenne à fentes
25;Réseau circulaire 49 antennes
26;Réseau vertical
27;Réseau vertical 2 antennes type P
28;Réseau vertical 3 antennes type M
29;Antenne Marguerite
30;Antenne Parapluie
31;Antenne Gonio
32;Dipôle/Doublet
33;Trombone
34;Cierge/Perche
35;Colinéaire
36;Antenne Plane LVA
37;Dipôle VHF
38;Antenne HF
39;Antenne Plane
41;Perche DAB
999999999;Aérien issu de reprise des données électroniques
42;Panneau DAB
43;Antenne DAB
44;Plan passif ou miroir
45;Antenne Grille
46;Cornet
47;Panneau bi-bandes
48;Panneau tri-bandes
49;Cylindre
50;Dièdre
51;Globe-Plafonnier
52;Discone
53;Antenne dalle
54;Antenne radar
55;Obus
56;Helicoidal
57;Aérien DEFENSE
58;Antenne trisectorielle
59;Antenne indoor pour téléphonie mobile
60;Cable rayonnant (antenne coaxiale)
61;Antenne équidirective dans un plan
62;Antenne à rayonnement longitudinal
63;Antenne à rayonnement zenithal
64;Multi Doublets/Multi dipoles
65;Antenne à faisceau
66;Antenne à jupe
67;Antenne biconique
68;REC-465
69;REC-580
70;AP27
71;29-25LOG(FI)
72;Pylone Rayonnant
73;XXX
74;Panneau bi-mode
81;Antenne pour la diffusion radio à ondes courtes ALLOUIS ISSOUDUN
80;Tout en 1(panneau-faisceau orientable)
79;Antenne à faisceaux orientables
82;Antenne cadre
77;Antenne BYT
78;Antenne SFR
